1,2,3,4,5,6,+
1,10,21,22,31,34,3
20,23,27,28,30,34,3
9,10,16,27,30,34,3
13,21,22,26,29,34,3
2,6,8,14,29,34,3
8,15,25,26,28,34,3
5,18,20,26,28,34,3
4,13,18,22,28,34,3
1,2,11,18,28,34,3
11,21,25,26,27,34,3
2,6,11,16,27,34,3
13,14,22,23,25,34,3
3,8,10,23,24,34,3
1,7,11,15,21,34,3
1,3,4,7,20,34,3
3,27,29,31,32,33,3
20,22,29,31,32,33,3
7,15,21,26,32,33,3
12,13,25,27,31,33,3
5,13,21,25,31,33,3
8,9,18,24,31,33,3
1,7,12,18,31,33,3
1,14,25,29,30,33,3
12,20,24,26,30,33,3
1,19,21,26,30,33,3
6,9,19,21,30,33,3
5,11,12,16,30,33,3
2,5,12,14,29,33,3
2,9,11,13,29,33,3
1,2,7,12,29,33,3
10,19,20,24,28,33,3
18,22,25,26,27,33,3
4,6,15,23,27,33,3
2,6,13,16,27,33,3
1,5,6,16,27,33,3
3,8,9,12,27,33,3
6,7,18,21,26,33,3
4,5,9,15,26,33,3
1,4,15,22,24,33,3
2,5,9,17,23,33,3
7,9,10,11,20,33,3
16,18,19,30,31,32,3
4,10,18,28,31,32,3
1,7,22,26,31,32,3
4,5,19,25,31,32,3
1,3,10,22,30,32,3
1,10,12,19,30,32,3
6,10,11,16,30,32,3
13,19,21,27,29,32,3
8,12,18,20,29,32,3
1,11,15,17,29,32,3
6,7,10,12,29,32,3
9,15,25,26,28,32,3
1,15,19,23,28,32,3
2,7,20,25,27,32,3
9,15,17,25,27,32,3
17,18,20,21,26,32,3
8,10,17,19,24,32,3
2,9,13,19,23,32,3
2,5,6,14,22,32,3
5,11,14,15,21,32,3
15,19,27,28,30,31,3
5,19,23,25,30,31,3
7,8,21,28,29,31,3
1,2,7,27,29,31,3
8,13,21,24,29,31,3
18,19,23,24,28,31,3
2,14,15,23,27,31,3
7,10,17,23,24,31,3
2,5,11,21,24,31,3
13,15,18,22,23,31,3
7,11,12,21,23,31,3
3,10,13,18,21,31,3
5,14,15,19,20,31,3
1,2,16,17,20,31,3
1,3,8,10,11,31,3
4,6,21,27,29,30,3
1,3,7,24,29,30,3
7,9,16,23,29,30,3
1,2,3,16,28,30,3
10,17,25,26,27,30,3
11,21,22,24,26,30,3
1,5,11,18,26,30,3
4,11,17,24,25,30,3
12,17,20,22,25,30,3
6,7,11,12,23,30,3
3,8,17,20,22,30,3
5,6,8,16,18,30,3
3,4,9,14,15,30,3
6,11,23,25,28,29,3
4,8,11,25,28,29,3
12,18,19,23,28,29,3
8,13,23,26,27,29,3
2,6,14,19,27,29,3
5,6,7,24,26,29,3
1,4,11,23,26,29,3
8,9,15,21,26,29,3
5,6,10,20,26,29,3
3,4,6,18,26,29,3
2,7,8,12,26,29,3
11,16,19,24,25,29,3
8,10,12,24,25,29,3
2,5,18,20,23,29,3
8,12,13,19,23,29,3
4,10,12,15,21,29,3
1,11,14,18,20,29,3
5,7,9,17,19,29,3
4,5,9,12,16,29,3
7,13,22,24,27,28,3
10,12,15,19,27,28,3
2,19,22,25,26,28,3
9,16,22,23,25,28,3
6,8,17,23,25,28,3
8,12,16,18,25,28,3
5,6,17,20,24,28,3
3,17,20,21,22,28,3
2,5,8,20,22,28,3
2,9,11,13,19,28,3
2,7,8,9,13,28,3
13,15,17,24,26,27,3
11,17,21,23,26,27,3
1,8,12,19,26,27,3
1,9,11,20,25,27,3
3,8,11,12,25,27,3
4,16,21,23,24,27,3
5,8,19,21,24,27,3
6,9,14,21,23,27,3
3,4,9,16,23,27,3
7,11,15,19,22,27,3
9,15,17,18,25,26,3
1,6,10,22,24,26,3
1,4,9,22,24,26,3
1,3,4,18,24,26,3
8,13,15,21,23,26,3
7,17,18,20,21,26,3
5,7,8,15,19,26,3
7,12,16,22,24,25,3
1,2,12,16,22,25,3
5,8,14,15,18,25,3
9,15,18,22,23,24,3
3,13,14,17,23,24,3
2,8,12,17,21,24,3
1,6,8,17,19,24,3
1,7,8,16,17,24,3
3,13,14,20,22,23,3
1,2,4,12,14,23,3
3,9,14,15,21,22,3
3,8,14,16,17,21,3
4,9,11,16,17,21,3
9,10,11,13,15,21,3
3,5,10,11,12,21,3
6,7,11,16,17,20,3
6,7,10,15,16,20,3
3,4,6,8,15,20,3
4,5,10,16,17,18,3
